::1 - - [15/Mar/2026 05:36:55] "GET /data-loading-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /admin-core-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /ui-orchestration-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /correlation-detail-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /admin-correlations-render-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /admin-load-fallback-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /modal-helpers-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /graph-highlight-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /graph-controls-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /priority-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /admin-actions-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /ui-filter-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /modal-events-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /smitte-listeners-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /core-load-bindings-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /vessel-risk-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /predictions-zone-filters-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /vessel-search-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /b-surveys-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /lice-overview-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /dom-init-module.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /help-guide.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /auto-load-manager.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /app.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /shared-glossary.json HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:36:55] "GET /favicon.svg HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:59:12] "GET / HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:59:12] "GET /styles.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:59:12] "GET /help-guide.css HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:59:12] "GET /predictions-utils.js HTTP/1.1" 200 -
::1 - - [15/Mar/2026 05:59:12] "GET /predictions-module.js HTTP/1.1" 200 -
